rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Fire TV 55"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3H6JPYZ,False,False,4.5,34567
1,"Amazon Fire TV 55"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, local dimming, hands-free with Alexa",B09N6ZRH6C,False,False,4.2,1602
2,"Amazon Fire TV 55"" Omni Series 4K UHD smart TV, hands-free with Alexa",B08P3QVFMK,False,False,4.5,24472
3,"Amazon Fire TV 55"" Omni Series 4K UHD smart TV bundle with Universal Tilting Wall Mount and Red Remote Cover",B09BPCBBWW,False,False,4.6,10
4,"Introducing Amazon Fire TV 40"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N719G17,False,False,4.5,2042
5,"Amazon Fire TV 50"" 4-Series 4K UHD smart TV bundle with Universal Tilting Wall Mount and Red Remote Cover",B09BPDV31Z,False,False,4.5,31
6,"Amazon Fire TV 43"" Omni Series 4K UHD smart TV bundle with Universal Tilting Wall Mount and Red Remote Cover",B09BPBV7C2,False,False,4.1,4
7,"Amazon Fire TV 43"" 4-Series 4K UHD smart TV bundle with Universal Tilting Wall Mount and Red Remote Cover",B09BPBC9VZ,False,False,4.9,19
8,"Amazon Fire TV 50"" Omni Series 4K UHD smart TV bundle with Universal Tilting Wall Mount and Red Remote Cover",B09BPDLRPD,False,False,4.2,7
9,"Amazon Fire TV 65"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, local dimming, hands-free with Alexa",B0BJMGB9RN,False,False,4.2,1602
10,"Amazon Fire TV 75"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",B08T6JZTH4,False,False,4.5,24472
11,"Introducing Amazon Fire TV 32"" 2-Series HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N6F9NV3,False,False,4.5,2042
12,"Amazon Fire TV 50"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3GTSQ9Q,False,False,4.5,34567
13,"Amazon Fire TV 50"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, local dimming, hands-free with Alexa",B09N6TPZ1K,False,False,4.2,1602
14,"Amazon Fire TV 65"" Omni Series 4K UHD smart TV bundle with Full Motion Wall Mount and Red Remote Cover",B09BPFQWGT,False,False,5.0,4
