rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Enough,166802828X,False,False,4.7,1492.0
1,Cassidy Hutchinson - The Trump Whistleblower: A Riveting True Story Of A Former Trump White House Aide,B0CJL9SZ4Z,False,False,3.5,21.0
2,Cassidy Hutchinson: A Biography of Cassidy Hutchinson; Former Trump White House aide,B0CH23W8MH,False,False,2.9,27.0
3,Cassidy Hutchinson Book: The Biography of Cassidy Hutchinson,B0CJZ14W3C,False,False,,
4,Summary of Cassidy Hutchinson's Book Enough,B0CJXGKYV6,False,False,2.6,8.0
5,Cassidy Hutchinson : A Brief Overview of Her Time In The Trump White House,B0CJV2NYZB,False,False,2.0,1.0
6,Summary Of Enough By Cassidy Hutchinson,B0CJX4Q879,False,False,,
7,"Summary and analysis of Cassidy Hutchinson book Enough (Darin L. Arnold :The Quick Recap Collection"")",B0CJT2Z4P3,False,False,,
8,"Summary of Cassidy Hutchinson's ""ENOUGH"" (Cassidy's Summaries & Insights)",B0CJVQ5FK1,False,False,3.1,5.0
9,"The Highly Sensitive: How to Find Inner Peace, Develop Your Gifts, and Thrive",1720622493,False,False,4.4,1913.0
10,SUMMARY AND ANALYSIS OF Cassidy Hutchinson's Book ENOUGH,B0CJT2Z4NS,False,False,,
11,Mirror Test: The Cassidy Hutchinson Story,0937258148,False,False,5.0,10.0
12,"Workbook for Enough By Cassidy Hutchinson: Your Powerful Guide to Being Perfectly Patriotic, Humane and True to Your Nation",B0CJXDSJHG,False,False,,
13,SUMMARY OF ENOUGH by Cassidy Hutchinson : A Memoir,B0CJZ5KXV4,False,False,,
14,Cassidy Hutchinson: The Biography of Cassidy Hutchinson,B0CCK92MS7,False,False,3.7,3.0
15,Enough,B0C3DNM9T1,False,False,,
